Accession	Mol. weight [kDa]
tr|A0A0G2K7H9|A0A0G2K7H9_RAT	82.365
sp|O08679|MARK2_RAT	80.87100000000001
sp|O08773|RGS14_RAT	59.49100000000001
tr|A0A0G2K326|A0A0G2K326_RAT	80.206
tr|G3V7I8|G3V7I8_RAT	137.64
tr|A0A0G2K5Z4|A0A0G2K5Z4_RAT	66.926
tr|Q5HZA7|Q5HZA7_RAT	45.833
sp|O08873|MADD_RAT	177.99
sp|O08875|DCLK1_RAT	47.68
sp|O09032|ELAV4_RAT	40.963
tr|D4A8L3|D4A8L3_RAT	69.01
sp|O35147|BAD_RAT	22.228
sp|O35274|NEB2_RAT	89.645
sp|O35303|DNM1L_RAT	83.90700000000001
sp|O35314|SCG1_RAT	77.535
sp|O35346|FAK1_RAT	119.72
tr|F1LS65|F1LS65_RAT	130.42
tr|F1LPM3|F1LPM3_RAT	134.14
sp|O35430|APBA1_RAT	92.65299999999999
sp|O35814|STIP1_RAT	62.568999999999996
sp|O35867|NEB1_RAT	122.73
tr|F1LT10|F1LT10_RAT	201.13
sp|O35986|ZRAB2_RAT	37.35
tr|A0A0G2K3B8|A0A0G2K3B8_RAT	121.7
sp|O54861|SORT_RAT	91.16799999999999
tr|A0A140TAA3|A0A140TAA3_RAT	204.28
tr|G3V6Y9|G3V6Y9_RAT	88.318
sp|O55043|ARHG7_RAT	73.139
tr|A0A0G2JZF2|A0A0G2JZF2_RAT	115.53
sp|O55173|PDPK1_RAT	63.593
tr|G3V8D6|G3V8D6_RAT	80.76
tr|M0R4V3|M0R4V3_RAT	22.928
tr|A0A096MIT7|A0A096MIT7_RAT	63.343999999999994
tr|A0A0G2K1R9|A0A0G2K1R9_RAT	277.46
sp|O70593|SGTA_RAT	34.157
tr|B2GUV4|B2GUV4_RAT	52.622
sp|O88339|EPN1_RAT	60.157
tr|M0R6E6|M0R6E6_RAT	89.964
tr|A0A0G2K007|A0A0G2K007_RAT	56.026
tr|F1LPG3|F1LPG3_RAT	104.75
tr|A0A0G2KA12|A0A0G2KA12_RAT	202.16
tr|A0A0G2JTW5|A0A0G2JTW5_RAT	105.62
tr|G3V984|G3V984_RAT	418.02
sp|O88831|KKCC2_RAT	64.446
tr|A0A0A0MXV8|A0A0A0MXV8_RAT	105.71
tr|A0A0G2K0E5|A0A0G2K0E5_RAT	66.781
tr|F1LMK0|F1LMK0_RAT	57.651
tr|D4A144|D4A144_RAT	166.07
tr|F1M6X3|F1M6X3_RAT	93.96600000000001
sp|O88989|MDHC_RAT	36.483000000000004
sp|P02401|RLA2_RAT	11.692
sp|P02688|MBP_RAT	21.502
sp|P04177|TY3H_RAT	55.965
tr|D4ACJ7|D4ACJ7_RAT	26.728
tr|M0R5J4|M0R5J4_RAT	47.074
tr|A0A0G2K207|A0A0G2K207_RAT	211.01
tr|Q6AY07|Q6AY07_RAT	39.491
sp|P05197|EF2_RAT	95.28299999999999
tr|F1M2P8|F1M2P8_RAT	72.77
sp|P06685|AT1A1_RAT	113.05
sp|P06687|AT1A3_RAT	111.69
tr|A0A0G2KAD8|A0A0G2KAD8_RAT	30.622
sp|P07936|NEUM_RAT	23.603
sp|P08050|CXA1_RAT	43.031000000000006
tr|A0A0G2JYW3|A0A0G2JYW3_RAT	25.58
tr|G3V9G3|G3V9G3_RAT	60.46
sp|P09117|ALDOC_RAT	39.283
tr|F1LMV8|F1LMV8_RAT	61.864
sp|P09456|KAP0_RAT	43.093999999999994
tr|K4DIC3|K4DIC3_RAT	69.687
sp|P09951|SYN1_RAT	73.987
sp|P0C1X8|AAK1_RAT	103.76
tr|A0A0H2UHQ3|A0A0H2UHQ3_RAT	102.43
sp|P0C5X8|TTYH1_RAT	49.032
sp|P0C5Y8|ALS2_RAT	182.45
sp|P0CC10|LRC4B_RAT	76.118
sp|P62986|RL40_RAT	14.728
tr|F1M1Y0|F1M1Y0_RAT	88.538
tr|G3V7X2|G3V7X2_RAT	66.663
tr|F1M084|F1M084_RAT	129.34
sp|P10888|COX41_RAT	19.514
sp|P11275|KCC2A_RAT	54.114
sp|P11505|AT2B1_RAT	138.72
sp|P11506|AT2B2_RAT	136.81
sp|P11507|AT2A2_RAT	114.77
sp|P11730|KCC2G_RAT	59.037
sp|P11960|ODBA_RAT	50.163999999999994
sp|P12369|KAP3_RAT	46.122
sp|P12785|FAS_RAT	272.65
tr|G3V7S2|G3V7S2_RAT	95.609
sp|P13084|NPM_RAT	32.56
sp|P13233|CN37_RAT	47.268
sp|P13383|NUCL_RAT	77.146
tr|F1LUV9|F1LUV9_RAT	91.635
sp|P13668|STMN1_RAT	17.288
tr|A0A140TAB1|A0A140TAB1_RAT	83.164
tr|A0A0H2UI34|A0A0H2UI34_RAT	95.28
sp|P15791|KCC2D_RAT	60.08
tr|Q6IRK8|Q6IRK8_RAT	282.38
tr|M0R6Y8|M0R6Y8_RAT	41.961000000000006
tr|G3V9G4|G3V9G4_RAT	119.71
sp|P17955|NUP62_RAT	53.396
tr|Q63211|Q63211_RAT	25.069000000000003
tr|A0A0G2JSH4|A0A0G2JSH4_RAT	46.71
sp|P18422|PSA3_RAT	28.419
sp|P19103|PPR1A_RAT	18.738
tr|D4A1Q2|D4A1Q2_RAT	71.764
sp|P19527|NFL_RAT	61.335
sp|Q05982|NDKA_RAT	17.192999999999998
tr|A0A0G2K4Q1|A0A0G2K4Q1_RAT	9.9151
sp|P19945|RLA0_RAT	34.215
tr|M0RDR2|M0RDR2_RAT	60.86
sp|P20236|GBRA3_RAT	55.428999999999995
tr|A0A0G2K7T5|A0A0G2K7T5_RAT	56.397
tr|Q5FVH5|Q5FVH5_RAT	16.383
sp|P21575|DYN1_RAT	97.294
tr|E9PT56|E9PT56_RAT	214.34
sp|P22734|COMT_RAT	29.596999999999998
tr|G3V8P8|G3V8P8_RAT	135.38
sp|P23565|AINX_RAT	56.115
sp|P23978|SC6A1_RAT	67.001
tr|F1LM19|F1LM19_RAT	38.346
tr|F1LPP6|F1LPP6_RAT	75.971
tr|F7FKI5|F7FKI5_RAT	43.113
sp|P26431|SL9A1_RAT	91.646
tr|F1LMA4|F1LMA4_RAT	75.708
tr|A0A0G2K428|A0A0G2K428_RAT	139.84
sp|P28471|GBRA4_RAT	60.951
tr|F1LMW7|F1LMW7_RAT	29.959
sp|P30835|PFKAL_RAT	85.338
tr|A0A1W2Q6C8|A0A1W2Q6C8_RAT	18.515
sp|P31016|DLG4_RAT	80.464
sp|P31044|PEBP1_RAT	20.801
sp|P31421|GRM2_RAT	95.773
sp|P31422|GRM3_RAT	98.959
tr|A0A0H2UHW6|A0A0H2UHW6_RAT	105.12
sp|P31596|EAA2_RAT	62.106
sp|P31662|S6A17_RAT	81.054
sp|P32851|STX1A_RAT	33.067
sp|P34058|HS90B_RAT	83.28
sp|P34926|MAP1A_RAT	299.53
sp|P35465|PAK1_RAT	60.577
tr|E9PU32|E9PU32_RAT	96.985
sp|P35565|CALX_RAT	67.25399999999999
sp|P36506|MP2K2_RAT	44.281000000000006
tr|F1LS02|F1LS02_RAT	154.86
tr|A0A140TAB3|A0A140TAB3_RAT	62.852
sp|P37805|TAGL3_RAT	22.5
tr|A0A0G2K700|A0A0G2K700_RAT	56.577
tr|A0A0G2JSR2|A0A0G2JSR2_RAT	63.341
sp|P41777|NOLC1_RAT	73.563
tr|G3V913|G3V913_RAT	22.807
sp|P43138|APEX1_RAT	35.538000000000004
tr|A0A0G2JSR7|A0A0G2JSR7_RAT	94.501
sp|P45592|COF1_RAT	18.532
sp|P46462|TERA_RAT	89.348
tr|Q6AZ33|Q6AZ33_RAT	33.507
tr|D3ZML3|D3ZML3_RAT	49.835
tr|G3V700|G3V700_RAT	133.0
tr|F1LPB9|F1LPB9_RAT	75.803
tr|Q52KS1|Q52KS1_RAT	85.34200000000001
tr|A0A0A0MXY5|A0A0A0MXY5_RAT	81.533
tr|A0A0H2UHZ1|A0A0H2UHZ1_RAT	26.451
sp|P47875|CSRP1_RAT	20.613000000000003
sp|P47942|DPYL2_RAT	62.277
tr|Q6P6U3|Q6P6U3_RAT	50.601000000000006
tr|A0A0G2JZK7|A0A0G2JZK7_RAT	95.48700000000001
tr|A0A0G2KA63|A0A0G2KA63_RAT	24.771
sp|P49621|DGKB_RAT	90.287
tr|A0A0H2UHA0|A0A0H2UHA0_RAT	18.805999999999997
sp|P51111|HD_RAT	343.76
sp|P52481|CAP2_RAT	52.912
tr|Q6P7B6|Q6P7B6_RAT	37.893
sp|P53987|MOT1_RAT	53.238
sp|P54287|CACB3_RAT	54.563
sp|P59215|GNAO_RAT	40.068000000000005
sp|P59649|FXYD7_RAT	8.4867
sp|P60841|ENSA_RAT	13.335
tr|A0A0G2JX56|A0A0G2JX56_RAT	18.753
tr|M0RBB2|M0RBB2_RAT	13.319
sp|P61265|STX1B_RAT	33.244
sp|P61765|STXB1_RAT	67.568
sp|P61808|SNN_RAT	9.501
tr|D4A201|D4A201_RAT	10.285
tr|M0R9K1|M0R9K1_RAT	50.968999999999994
sp|P61983|1433G_RAT	28.302
sp|P62260|1433E_RAT	29.174
sp|P62483|KCAB2_RAT	41.021
tr|M0RD75|M0RD75_RAT	28.421
sp|P62775|MTPN_RAT	12.860999999999999
tr|A0A0G2K689|A0A0G2K689_RAT	14.402000000000001
sp|P62997|TRA2B_RAT	33.665
sp|P63012|RAB3A_RAT	24.97
tr|D4A4S3|D4A4S3_RAT	70.726
sp|P63025|VAMP3_RAT	11.48
sp|P63043|STMN4_RAT	22.087
tr|M0R9J4|M0R9J4_RAT	42.645
sp|P63102|1433Z_RAT	27.771
sp|P63142|KCNA2_RAT	56.7
sp|P63319|KPCG_RAT	78.357
sp|P63329|PP2BA_RAT	58.643
sp|P68370|TBA1A_RAT	50.135
tr|F1LS36|F1LS36_RAT	76.571
tr|G3V8Q9|G3V8Q9_RAT	310.5
tr|G3V6L8|G3V6L8_RAT	86.14
sp|P70501|RBM10_RAT	94.387
sp|P70580|PGRC1_RAT	21.598000000000003
sp|P70600|FAK2_RAT	115.78
sp|P70673|KCJ11_RAT	43.607
sp|P80386|AAKB1_RAT	30.394000000000002
sp|P81128|RHG35_RAT	170.48
sp|P81155|VDAC2_RAT	31.745
sp|P82995|HS90A_RAT	84.814
sp|P84087|CPLX2_RAT	15.394
tr|A0A140TAH5|A0A140TAH5_RAT	49.526
sp|P84889|VANG2_RAT	59.77
tr|G3V8L9|G3V8L9_RAT	43.908
tr|A0A0G2KAM4|A0A0G2KAM4_RAT	53.881
tr|A0A0G2KA57|A0A0G2KA57_RAT	158.04
tr|F1LQD2|F1LQD2_RAT	55.897
sp|P97834|CSN1_RAT	53.428000000000004
tr|F1LSL6|F1LSL6_RAT	113.09
tr|G3V7T8|G3V7T8_RAT	104.71
sp|P97846|CNTP1_RAT	155.87
tr|F1LNV1|F1LNV1_RAT	83.37799999999999
tr|A0A0G2JWK2|A0A0G2JWK2_RAT	53.048
tr|G3V746|G3V746_RAT	166.03
tr|A0A0H2UHR5|A0A0H2UHR5_RAT	46.213
sp|Q00981|UCHL1_RAT	24.838
tr|F1LRE0|F1LRE0_RAT	212.49
sp|Q02563|SV2A_RAT	82.66
tr|F1MA86|F1MA86_RAT	67.314
sp|Q04940|NEUG_RAT	7.4963
sp|Q05140|AP180_RAT	93.51799999999999
sp|Q05175|BASP1_RAT	21.79
sp|Q05546|TENR_RAT	149.37
sp|Q05695|L1CAM_RAT	140.93
tr|F8WFS9|F8WFS9_RAT	80.57600000000001
sp|Q08163|CAP1_RAT	51.588
tr|G3V8I4|G3V8I4_RAT	34.195
sp|Q08877|DYN3_RAT	97.913
sp|Q09QM4|GPR17_RAT	37.869
sp|Q0ZCA7|CLC2L_RAT	23.623
tr|D4ACS0|D4ACS0_RAT	109.11
tr|A0A0G2K451|A0A0G2K451_RAT	104.03
sp|Q27W01|RBM8A_RAT	19.889
sp|Q2HWF0|FBP1L_RAT	69.97399999999999
sp|Q2IBD4|CTTB2_RAT	178.77
tr|H9KVE4|H9KVE4_RAT	65.756
sp|Q2THW7|ZDHC5_RAT	77.429
tr|A0A0G2JU89|A0A0G2JU89_RAT	573.87
sp|Q2VUH7|DIXC1_RAT	76.141
tr|A0A0G2K079|A0A0G2K079_RAT	37.499
sp|Q498T9|LRC8C_RAT	92.462
sp|Q499M7|LRIF1_RAT	82.66799999999999
sp|Q499N6|UBXN1_RAT	33.580999999999996
sp|Q4FZT2|PPME1_RAT	42.316
sp|Q4FZU8|RIPR1_RAT	131.73
sp|Q4FZY0|EFHD2_RAT	26.759
sp|Q4G008|K0930_RAT	45.958
sp|Q4G061|EIF3B_RAT	90.91
sp|Q4KLG9|ZFN2B_RAT	27.925
tr|F1M9N7|F1M9N7_RAT	58.053999999999995
sp|Q4KLL0|TCEA1_RAT	33.893
tr|G3V8F3|G3V8F3_RAT	71.878
sp|Q4QR85|MEP50_RAT	37.075
tr|A0A096MJ75|A0A096MJ75_RAT	48.415
tr|F1LY09|F1LY09_RAT	35.833
sp|Q4V7E8|LRRF2_RAT	49.772
tr|A0A0G2KAL4|A0A0G2KAL4_RAT	84.125
tr|M0RCT5|M0RCT5_RAT	85.75
tr|G3V7J2|G3V7J2_RAT	34.385
tr|F1LM09|F1LM09_RAT	128.43
tr|B1WC00|B1WC00_RAT	14.413
sp|Q568Z1|F131B_RAT	35.928000000000004
sp|Q5BJQ2|MINY1_RAT	52.728
sp|Q5BJT0|ARGL1_RAT	32.887
sp|Q5BJT1|AN34A_RAT	52.456
sp|Q5BK81|PTGR2_RAT	38.135999999999996
tr|G3V856|G3V856_RAT	70.84100000000001
sp|Q5EAN7|TE2IP_RAT	43.418
sp|Q5EB62|S2546_RAT	46.21
tr|M0R567|M0R567_RAT	81.367
tr|A0A1B0GWY5|A0A1B0GWY5_RAT	110.14
sp|Q5FVC7|ACAP2_RAT	87.229
sp|Q5FVH8|R7BP_RAT	28.965999999999998
sp|Q5FVI4|CEND_RAT	15.043
sp|Q5FVJ4|RELL2_RAT	32.134
tr|A0A0H2UHL8|A0A0H2UHL8_RAT	79.058
sp|Q5FWU3|ATG9A_RAT	94.48700000000001
sp|Q5GFD9|IMPCT_RAT	35.995
sp|Q5HZE4|MTNA_RAT	39.586999999999996
sp|Q5HZV9|PP1R7_RAT	41.29600000000001
tr|F1M8H6|F1M8H6_RAT	75.612
sp|Q5M7A3|S35G2_RAT	46.595
sp|Q5M7V8|TR150_RAT	108.25
sp|Q5M7W5|MAP4_RAT	110.3
sp|Q5M9I5|QCR6_RAT	10.424000000000001
tr|D4A7V1|D4A7V1_RAT	36.236
sp|Q5PQL7|ITM2C_RAT	30.48
sp|Q5PQS2|ZN365_RAT	46.967
sp|Q5QD51|AKA12_RAT	181.11
tr|A0A0G2K774|A0A0G2K774_RAT	31.051
sp|Q5RKH0|GLYR1_RAT	60.42100000000001
tr|A0A0G2K249|A0A0G2K249_RAT	103.21
tr|F1LMT8|F1LMT8_RAT	151.61
tr|A0A0G2JYN0|A0A0G2JYN0_RAT	64.307
sp|Q5U2N3|PITM1_RAT	134.98
sp|Q5U2U7|MCES_RAT	52.816
sp|Q5U2Y1|GTF2I_RAT	110.21
sp|Q5U318|PEA15_RAT	15.04
sp|Q5XHY5|SYTC_RAT	80.575
tr|M0RC12|M0RC12_RAT	43.382
sp|Q5XID7|ARMX3_RAT	42.552
sp|Q5XIF6|TBA4A_RAT	49.924
sp|Q5XII9|MFR1L_RAT	31.73
tr|A0A0U1RS39|A0A0U1RS39_RAT	14.524000000000001
sp|Q5XIT1|MARE3_RAT	31.965999999999998
tr|F1LMY3|F1LMY3_RAT	255.37
sp|Q62658|FKB1A_RAT	11.922
sp|Q62688|PLCL1_RAT	122.77
tr|A0A096MIY2|A0A096MIY2_RAT	51.545
sp|Q62717|CAPS1_RAT	146.26
sp|Q62747|SYT7_RAT	45.482
sp|Q62768|UN13A_RAT	196.35
sp|Q62785|HAP28_RAT	20.605
tr|G3V6P7|G3V6P7_RAT	226.41
tr|A0A0G2JW28|A0A0G2JW28_RAT	74.96300000000001
tr|Q3S4A5|Q3S4A5_RAT	44.361999999999995
tr|D3ZU74|D3ZU74_RAT	68.362
tr|G3V7Z3|G3V7Z3_RAT	24.491
tr|F1LQ41|F1LQ41_RAT	90.56299999999999
tr|D3ZDC0|D3ZDC0_RAT	91.585
tr|D4ABN3|D4ABN3_RAT	144.78
sp|Q62920|PDLI5_RAT	63.201
sp|Q62936|DLG3_RAT	93.538
sp|Q62950|DPYL1_RAT	62.195
sp|Q62952|DPYL3_RAT	61.967
tr|A0A0G2K104|A0A0G2K104_RAT	117.7
tr|F1LSB5|F1LSB5_RAT	73.525
tr|A0A0G2JSM7|A0A0G2JSM7_RAT	80.33800000000001
tr|A0A0G2K1R5|A0A0G2K1R5_RAT	54.121
tr|G3V792|G3V792_RAT	72.67699999999999
sp|Q63259|PTPRN_RAT	106.23
sp|Q63327|MOBP_RAT	19.102999999999998
tr|Q66HS9|Q66HS9_RAT	53.043
tr|M0RD53|M0RD53_RAT	46.233000000000004
tr|D4ACC4|D4ACC4_RAT	64.962
tr|Q7TP93|Q7TP93_RAT	29.706
tr|D3ZHE6|D3ZHE6_RAT	22.706999999999997
tr|G3V733|G3V733_RAT	63.412
tr|F1LQZ9|F1LQZ9_RAT	100.44
sp|Q63622|DLG2_RAT	94.93299999999999
tr|A0A0G2K5M7|A0A0G2K5M7_RAT	139.22
sp|Q63624|SFR19_RAT	133.85
tr|D3ZGI9|D3ZGI9_RAT	123.51
sp|Q63638|SPEG_RAT	354.16
tr|D4AD75|D4AD75_RAT	84.363
sp|Q64542|AT2B4_RAT	133.09
tr|M0R608|M0R608_RAT	63.813
tr|A0A0G2K9Q6|A0A0G2K9Q6_RAT	138.57
sp|Q66H40|HMGN3_RAT	10.182
sp|Q66HA5|C2D1A_RAT	103.59
sp|Q66HA8|HS105_RAT	96.417
tr|A0A1B0GWS4|A0A1B0GWS4_RAT	23.686
sp|Q66HR5|CACO1_RAT	77.274
sp|Q68A21|PURB_RAT	33.418
sp|Q68FR2|BIN2_RAT	55.118
sp|Q68FR9|EF1D_RAT	31.33
sp|Q6AXS5|PAIRB_RAT	44.754
sp|Q6AXU6|JUPI1_RAT	15.575
sp|Q6AXY7|PR38B_RAT	63.931000000000004
tr|Q499R8|Q499R8_RAT	20.58
sp|Q6AY57|WIPI2_RAT	48.519
tr|A0A140TAD1|A0A140TAD1_RAT	24.13
tr|A0A0G2K5S2|A0A0G2K5S2_RAT	57.151
tr|F1M6U2|F1M6U2_RAT	34.129
sp|Q6AYK3|INO1_RAT	60.883
sp|Q6AYK8|EIF3D_RAT	63.988
sp|Q6AYN4|PHIPL_RAT	42.412
tr|D4ACZ5|D4ACZ5_RAT	38.325
sp|Q6GMN2|BAIP2_RAT	59.181999999999995
sp|Q6IN33|RCAN1_RAT	22.948
sp|Q6J4I0|PPR1B_RAT	22.912
sp|Q6JE36|NDRG1_RAT	42.95399999999999
sp|Q6MG08|ABCF1_RAT	95.251
sp|Q6MG48|PRC2A_RAT	229.04
tr|A0A0G2K7C1|A0A0G2K7C1_RAT	112.88
sp|Q6P686|OSTF1_RAT	23.668000000000003
sp|Q6P6V0|G6PI_RAT	62.826
sp|Q6P730|DAB2P_RAT	110.0
sp|Q6P791|LTOR1_RAT	17.721
sp|Q6P9V9|TBA1B_RAT	50.151
sp|Q6PCT3|TPD54_RAT	23.991999999999997
sp|Q6PDU1|SRSF2_RAT	25.476
sp|Q6PST4|ATLA1_RAT	63.375
tr|A0A0G2JWP2|A0A0G2JWP2_RAT	197.61
sp|Q6QIX3|ZNT3_RAT	41.898
sp|Q6RJR6|RTN3_RAT	101.52
sp|Q6RVG2|S4A8_RAT	119.55
sp|Q6TQE1|ZCH18_RAT	105.54
tr|D3ZU56|D3ZU56_RAT	160.59
tr|F1M6W2|F1M6W2_RAT	99.979
tr|F1LR33|F1LR33_RAT	36.909
sp|Q71RJ2|CCG2_RAT	35.894
tr|M0RA26|M0RA26_RAT	9.5161
tr|R9PXR4|R9PXR4_RAT	61.938
sp|Q78PB6|NDEL1_RAT	38.365
tr|D4A315|D4A315_RAT	18.698
tr|G3V864|G3V864_RAT	83.331
sp|Q7TNK0|SERC1_RAT	50.553000000000004
sp|Q7TP36|SHRM2_RAT	157.99
tr|A0A0G2K9B2|A0A0G2K9B2_RAT	76.17
sp|Q80VL0|ICEF1_RAT	45.68600000000001
sp|Q80W98|SGTB_RAT	33.486999999999995
tr|F1LPG9|F1LPG9_RAT	145.06
sp|Q80Z30|PPM1E_RAT	83.43799999999999
sp|Q80ZA5|S4A10_RAT	125.64
tr|A0A0G2K1S0|A0A0G2K1S0_RAT	65.988
tr|Q566D6|Q566D6_RAT	37.365
tr|R9PXV8|R9PXV8_RAT	71.777
sp|Q8CGU4|AGAP2_RAT	124.44
sp|Q8K1Q0|NMT1_RAT	56.86
tr|Z4YNN0|Z4YNN0_RAT	76.992
tr|G3V8U4|G3V8U4_RAT	59.528999999999996
sp|Q8K585|HMGA1_RAT	11.706
sp|Q8R431|MGLL_RAT	33.499
sp|Q8R4T5|GRASP_RAT	42.32
tr|Z4YNH5|Z4YNH5_RAT	64.664
tr|A0A0G2JSU4|A0A0G2JSU4_RAT	39.255
tr|D3ZE17|D3ZE17_RAT	150.26
tr|M0R3J6|M0R3J6_RAT	15.372
tr|F1M7K7|F1M7K7_RAT	43.25
sp|Q8VHW9|CCG4_RAT	36.522
sp|Q8VHX0|CCG3_RAT	35.515
sp|Q8VIJ5|OGA_RAT	102.92
sp|Q8VIL3|ZWINT_RAT	30.142
sp|Q91XU8|CDS2_RAT	51.321999999999996
sp|Q91Y81|SEPT2_RAT	41.592
tr|F1LSE6|F1LSE6_RAT	129.75
sp|Q920Q0|PALM_RAT	41.926
sp|Q923V4|FBX6_RAT	32.786
tr|F1LSQ0|F1LSQ0_RAT	69.722
sp|Q925G1|HDGR2_RAT	74.017
tr|F1LMT5|F1LMT5_RAT	66.872
tr|M0RBZ7|M0RBZ7_RAT	71.851
sp|Q99M64|P4K2A_RAT	54.303999999999995
sp|Q99MC0|PP14A_RAT	16.697
sp|Q99MS0|S14L2_RAT	46.166000000000004
sp|Q99MZ4|GGT7_RAT	70.382
sp|Q99P55|SGPP1_RAT	47.648999999999994
tr|Q6IRG7|Q6IRG7_RAT	22.114
tr|F1LM64|F1LM64_RAT	102.14
tr|M0R961|M0R961_RAT	74.212
tr|A0A0G2K613|A0A0G2K613_RAT	19.718
tr|A0A0G2K7X3|A0A0G2K7X3_RAT	27.051
tr|A0A0G2JZ77|A0A0G2JZ77_RAT	25.631
tr|F1LP34|F1LP34_RAT	30.973000000000003
tr|A0A0G2K101|A0A0G2K101_RAT	117.15
sp|Q9JHL4|DBNL_RAT	48.611999999999995
tr|A0A0G2K8Y5|A0A0G2K8Y5_RAT	52.89
tr|D3ZI49|D3ZI49_RAT	20.954
sp|Q9JHZ4|GRAP1_RAT	96.073
sp|Q9JID1|PDCD4_RAT	51.736000000000004
sp|Q9JIH7|WNK1_RAT	225.11
tr|A0A0G2KAV8|A0A0G2KAV8_RAT	161.32
tr|A0A096P6M3|A0A096P6M3_RAT	169.66
sp|Q9JJ19|NHRF1_RAT	38.83
sp|Q9JJ54|HNRPD_RAT	38.218
tr|D3ZT07|D3ZT07_RAT	42.824
sp|Q9JJP0|S20A1_RAT	74.186
tr|F1LQN3|F1LQN3_RAT	126.4
tr|A0A0G2JTX8|A0A0G2JTX8_RAT	35.491
tr|F1LRY7|F1LRY7_RAT	93.259
tr|F1LSH6|F1LSH6_RAT	101.43
sp|Q9JKC9|SYNRG_RAT	141.36
sp|Q9JKM5|S1PR5_RAT	42.368
sp|Q9JKS6|PCLO_RAT	552.71
tr|G3V9Y1|G3V9Y1_RAT	229.0
tr|A0A0U1RRP5|A0A0U1RRP5_RAT	122.01
tr|D3ZCL8|D3ZCL8_RAT	141.97
tr|F1LQ81|F1LQ81_RAT	82.62899999999999
tr|A0A0G2K7H2|A0A0G2K7H2_RAT	124.67
tr|G3V7G0|G3V7G0_RAT	56.67
sp|Q9QXY2|SRCN1_RAT	129.74
sp|Q9QY02|YTDC1_RAT	85.90100000000001
tr|B4F7C1|B4F7C1_RAT	52.845
tr|A0A0G2K9S4|A0A0G2K9S4_RAT	203.07
tr|A0A0G2JY69|A0A0G2JY69_RAT	31.861
tr|G3V8P6|G3V8P6_RAT	60.541000000000004
tr|A0A0G2JVK3|A0A0G2JVK3_RAT	30.239
sp|Q9QZM5|ABI1_RAT	51.70399999999999
sp|Q9QZR6|SEPT9_RAT	63.791000000000004
tr|A0A0G2JX77|A0A0G2JX77_RAT	86.865
sp|Q9R066|CXAR_RAT	39.948
tr|G3V9X2|G3V9X2_RAT	74.439
sp|Q9WTW8|S23A2_RAT	70.069
sp|Q9WU49|CHSP1_RAT	15.905999999999999
sp|Q9WU70|STXB5_RAT	127.66
tr|A0A0G2JSH6|A0A0G2JSH6_RAT	86.729
sp|Q9WV48|SHAN1_RAT	226.33
tr|F1LMC7|F1LMC7_RAT	50.57899999999999
sp|Q9WVI4|GCYA2_RAT	81.786
sp|Q9WVR6|LAT2_RAT	58.19
sp|Q9Z0G8|WIPF3_RAT	49.38
tr|Q924M0|Q924M0_RAT	110.74
